"Q44","total","StartDate","EndDate"
"P2",22,"4/18/19 8:28","4/18/19 8:52"
"",24,"4/18/19 8:28","4/18/19 8:53"
"p4",16,"4/18/19 10:45","4/18/19 11:10"
"p6",12,"4/23/19 13:18","4/23/19 13:38"
"p5",18,"4/23/19 13:23","4/23/19 13:48"
"",0,"4/23/19 12:58","4/23/19 12:58"
"p6",0,"4/23/19 13:39","4/23/19 13:39"
"p6",0,"4/23/19 13:38","4/23/19 13:39"
"P7",10,"4/25/19 8:35","4/25/19 8:45"
"P8",13,"4/26/19 10:50","4/26/19 11:08"
"P9",12,"4/26/19 10:50","4/26/19 11:12"
"P10",25,"4/26/19 13:01","4/26/19 13:23"
"P11",19,"4/26/19 13:01","4/26/19 13:27"
"P10",0,"4/26/19 13:00","4/26/19 13:01"
"p12",5,"4/30/19 13:15","4/30/19 13:20"
"p13",7,"5/2/19 9:02","5/2/19 9:13"
"P14",14,"5/2/19 13:20","5/2/19 13:38"
"P15",26,"5/2/19 13:18","5/2/19 13:40"
"P17",15,"5/3/19 10:52","5/3/19 11:12"
"P16",5,"5/3/19 11:10","5/3/19 11:17"
"p18",21,"5/3/19 12:59","5/3/19 13:19"
"P19",15,"5/3/19 12:59","5/3/19 13:20"
"P22",6,"5/7/19 13:25","5/7/19 13:37"
"P23",25,"5/7/19 13:25","5/7/19 13:44"
"P21",19,"5/7/19 13:27","5/7/19 13:47"
"P24",21,"5/7/19 13:25","5/7/19 13:51"
"P20",22,"5/7/19 13:25","5/7/19 13:52"
"p0",0,"5/7/19 13:25","5/7/19 13:29"
"p29",20,"5/10/19 10:26","5/10/19 10:46"
"P26",3,"5/10/19 10:29","5/10/19 10:47"
"p28",23,"5/10/19 10:29","5/10/19 10:52"
"p27",17,"5/10/19 10:35","5/10/19 10:55"
"P25",22,"5/10/19 10:34","5/10/19 11:00"
"p30",17,"5/10/19 11:05","5/10/19 11:30"
"p1",0,"5/10/19 10:05","5/10/19 10:05"
"P0",0,"5/10/19 11:05","5/10/19 11:13"
"p30",0,"5/10/19 11:30","5/10/19 11:30"
"p46",13,"5/14/19 11:44","5/14/19 12:00"
"p38",1,"5/14/19 11:57","5/14/19 12:00"
"p44",7,"5/14/19 11:58","5/14/19 12:02"
"p41",9,"5/14/19 11:50","5/14/19 12:04"
"P45",11,"5/14/19 11:54","5/14/19 12:07"
"p33",6,"5/14/19 12:01","5/14/19 12:08"
"P47",14,"5/14/19 12:00","5/14/19 12:08"
"P36",8,"5/14/19 11:58","5/14/19 12:09"
"p35",9,"5/14/19 11:59","5/14/19 12:10"
"p37",12,"5/14/19 12:04","5/14/19 12:11"
"p32",15,"5/14/19 12:02","5/14/19 12:12"
"p48",11,"5/14/19 12:04","5/14/19 12:13"
"p40",19,"5/14/19 12:01","5/14/19 12:14"
"p43",7,"5/14/19 12:04","5/14/19 12:15"
"P34",9,"5/14/19 12:02","5/14/19 12:15"
"p39",25,"5/14/19 11:53","5/14/19 12:17"
"P31",17,"5/14/19 12:03","5/14/19 12:19"
"p42",15,"5/14/19 12:09","5/14/19 12:24"
"p1",0,"5/14/19 11:43","5/14/19 11:43"
"p41",0,"5/14/19 11:45","5/14/19 11:46"
"P45",0,"5/14/19 12:08","5/14/19 12:08"
